"","USPS","date","incidD","state"
"395","AK",2021-02-19,1,"Alaska"
"396","AK",2021-02-20,0,"Alaska"
"397","AK",2021-02-21,0,"Alaska"
"398","AK",2021-02-22,1,"Alaska"
"399","AK",2021-02-23,0,"Alaska"
"400","AK",2021-02-24,0,"Alaska"
"401","AK",2021-02-25,0,"Alaska"
"402","AK",2021-02-26,0,"Alaska"
"403","AK",2021-02-27,0,"Alaska"
"404","AK",2021-02-28,0,"Alaska"
"405","AK",2021-03-01,10,"Alaska"
"406","AK",2021-03-02,2,"Alaska"
"407","AK",2021-03-03,1,"Alaska"
"408","AK",2021-03-04,0,"Alaska"
"409","AK",2021-03-05,2,"Alaska"
"410","AK",2021-03-06,0,"Alaska"
"411","AK",2021-03-07,0,"Alaska"
"412","AK",2021-03-08,0,"Alaska"
"413","AK",2021-03-09,0,"Alaska"
"414","AK",2021-03-10,0,"Alaska"
"415","AK",2021-03-11,0,"Alaska"
"416","AK",2021-03-12,1,"Alaska"
"417","AK",2021-03-13,0,"Alaska"
"418","AK",2021-03-14,0,"Alaska"
"419","AK",2021-03-15,0,"Alaska"
"420","AK",2021-03-16,0,"Alaska"
"421","AK",2021-03-17,1,"Alaska"
"422","AK",2021-03-18,3,"Alaska"
"423","AK",2021-03-19,0,"Alaska"
"424","AK",2021-03-20,0,"Alaska"
"425","AK",2021-03-21,0,"Alaska"
"426","AK",2021-03-22,0,"Alaska"
"427","AK",2021-03-23,2,"Alaska"
"428","AK",2021-03-24,0,"Alaska"
"429","AK",2021-03-25,1,"Alaska"
"430","AK",2021-03-26,0,"Alaska"
"431","AK",2021-03-27,0,"Alaska"
"432","AK",2021-03-28,0,"Alaska"
"433","AK",2021-03-29,0,"Alaska"
"434","AK",2021-03-30,0,"Alaska"
"435","AK",2021-03-31,0,"Alaska"
"436","AK",2021-04-01,0,"Alaska"
"437","AK",2021-04-02,0,"Alaska"
"438","AK",2021-04-03,0,"Alaska"
"439","AK",2021-04-04,0,"Alaska"
"440","AK",2021-04-05,0,"Alaska"
"441","AK",2021-04-06,0,"Alaska"
"442","AK",2021-04-07,0,"Alaska"
"443","AK",2021-04-08,0,"Alaska"
"444","AK",2021-04-09,0,"Alaska"
"445","AK",2021-04-10,0,"Alaska"
"446","AK",2021-04-11,0,"Alaska"
"447","AK",2021-04-12,1,"Alaska"
"448","AK",2021-04-13,0,"Alaska"
"449","AK",2021-04-14,0,"Alaska"
"450","AK",2021-04-15,20,"Alaska"
"451","AK",2021-04-16,0,"Alaska"
"452","AK",2021-04-17,0,"Alaska"
"453","AK",2021-04-18,0,"Alaska"
"454","AK",2021-04-19,0,"Alaska"
"455","AK",2021-04-20,0,"Alaska"
"456","AK",2021-04-21,0,"Alaska"
"457","AK",2021-04-22,0,"Alaska"
"458","AK",2021-04-23,0,"Alaska"
"459","AK",2021-04-24,0,"Alaska"
"460","AK",2021-04-25,0,"Alaska"
"461","AK",2021-04-26,13,"Alaska"
"462","AK",2021-04-27,0,"Alaska"
"463","AK",2021-04-28,0,"Alaska"
"464","AK",2021-04-29,0,"Alaska"
"465","AK",2021-04-30,0,"Alaska"
"466","AK",2021-05-01,0,"Alaska"
"467","AK",2021-05-02,0,"Alaska"
"468","AK",2021-05-03,1,"Alaska"
"469","AK",2021-05-04,0,"Alaska"
"470","AK",2021-05-05,0,"Alaska"
"471","AK",2021-05-06,1,"Alaska"
"472","AK",2021-05-07,0,"Alaska"
"473","AK",2021-05-08,0,"Alaska"
"474","AK",2021-05-09,0,"Alaska"
"475","AK",2021-05-10,0,"Alaska"
"476","AK",2021-05-11,2,"Alaska"
"477","AK",2021-05-12,2,"Alaska"
"478","AK",2021-05-13,0,"Alaska"
"479","AK",2021-05-14,0,"Alaska"
"480","AK",2021-05-15,0,"Alaska"
"481","AK",2021-05-16,0,"Alaska"
"482","AK",2021-05-17,11,"Alaska"
"483","AK",2021-05-18,4,"Alaska"
"484","AK",2021-05-19,1,"Alaska"
"485","AK",2021-05-20,0,"Alaska"
"486","AK",2021-05-21,0,"Alaska"
