start_date,date,incidD,state,USPS,source,datew
2020-05-17,2020-05-23,99,Arizona,AZ,cdc,NA
2020-05-24,2020-05-30,116,Arizona,AZ,cdc,NA
2020-05-31,2020-06-06,132,Arizona,AZ,cdc,NA
2020-06-07,2020-06-13,173,Arizona,AZ,cdc,NA
2020-06-14,2020-06-20,207,Arizona,AZ,cdc,NA
2020-06-21,2020-06-27,258,Arizona,AZ,cdc,NA
2020-06-28,2020-07-04,388,Arizona,AZ,cdc,NA
2020-07-05,2020-07-11,508,Arizona,AZ,cdc,NA
2020-07-12,2020-07-18,548,Arizona,AZ,cdc,NA
2020-07-19,2020-07-25,477,Arizona,AZ,cdc,NA
2020-07-26,2020-08-01,390,Arizona,AZ,cdc,NA
2020-08-02,2020-08-08,305,Arizona,AZ,cdc,NA
2020-08-09,2020-08-15,249,Arizona,AZ,cdc,NA
2020-08-16,2020-08-22,174,Arizona,AZ,cdc,NA
2020-08-23,2020-08-29,129,Arizona,AZ,cdc,NA
2020-08-30,2020-09-05,96,Arizona,AZ,cdc,NA
2020-09-06,2020-09-12,61,Arizona,AZ,cdc,NA
2020-09-13,2020-09-19,66,Arizona,AZ,cdc,NA
2020-09-20,2020-09-26,56,Arizona,AZ,cdc,NA
2020-09-27,2020-10-03,35,Arizona,AZ,cdc,NA
2020-10-04,2020-10-10,53,Arizona,AZ,cdc,NA
2020-10-11,2020-10-17,47,Arizona,AZ,cdc,NA
2020-10-18,2020-10-24,63,Arizona,AZ,cdc,NA
2020-10-25,2020-10-31,82,Arizona,AZ,cdc,NA
2020-11-01,2020-11-07,125,Arizona,AZ,cdc,NA
2020-11-08,2020-11-14,124,Arizona,AZ,cdc,NA
2020-11-15,2020-11-21,203,Arizona,AZ,cdc,NA
2020-11-22,2020-11-28,307,Arizona,AZ,cdc,NA
2020-11-29,2020-12-05,416,Arizona,AZ,cdc,NA
2020-12-06,2020-12-12,574,Arizona,AZ,cdc,NA
2020-12-13,2020-12-19,734,Arizona,AZ,cdc,NA
2020-12-20,2020-12-26,765,Arizona,AZ,cdc,NA
2020-12-27,2021-01-02,883,Arizona,AZ,cdc,NA
2021-01-03,2021-01-09,942,Arizona,AZ,cdc,NA
2021-01-10,2021-01-16,996,Arizona,AZ,cdc,NA
2021-01-17,2021-01-23,959,Arizona,AZ,cdc,NA
2021-01-24,2021-01-30,776,Arizona,AZ,cdc,NA
2021-01-31,2021-02-06,660,Arizona,AZ,cdc,NA
2021-02-07,2021-02-13,505,Arizona,AZ,cdc,NA
2021-02-14,2021-02-20,338,Arizona,AZ,cdc,NA
2021-02-21,2021-02-27,237,Arizona,AZ,cdc,NA
2021-02-28,2021-03-06,184,Arizona,AZ,cdc,NA
2021-03-07,2021-03-13,129,Arizona,AZ,cdc,NA
2021-03-14,2021-03-20,122,Arizona,AZ,cdc,NA
2021-03-21,2021-03-27,75,Arizona,AZ,cdc,NA
2021-03-28,2021-04-03,56,Arizona,AZ,cdc,NA
2021-04-04,2021-04-10,64,Arizona,AZ,cdc,NA
2021-04-11,2021-04-17,57,Arizona,AZ,cdc,NA
2021-04-18,2021-04-24,43,Arizona,AZ,cdc,NA
2021-04-25,2021-05-01,54,Arizona,AZ,cdc,NA
2021-05-02,2021-05-08,63,Arizona,AZ,cdc,NA
2021-05-09,2021-05-15,57,Arizona,AZ,cdc,NA
2021-05-16,2021-05-22,54,Arizona,AZ,cdc,NA
2021-05-23,2021-05-29,48,Arizona,AZ,cdc,NA
2021-05-30,2021-06-05,41,Arizona,AZ,cdc,NA
2021-06-06,2021-06-12,35,Arizona,AZ,cdc,NA
2021-06-13,2021-06-19,44,Arizona,AZ,cdc,NA
2021-06-20,2021-06-26,46,Arizona,AZ,cdc,NA
2021-06-27,2021-07-03,41,Arizona,AZ,cdc,NA
2021-07-04,2021-07-10,41,Arizona,AZ,cdc,NA
2021-07-11,2021-07-17,56,Arizona,AZ,cdc,NA
2021-07-18,2021-07-24,70,Arizona,AZ,cdc,NA
2021-07-25,2021-07-31,110,Arizona,AZ,cdc,NA
2021-08-01,2021-08-07,127,Arizona,AZ,cdc,NA
2021-08-08,2021-08-14,162,Arizona,AZ,cdc,NA
2021-08-15,2021-08-21,180,Arizona,AZ,cdc,NA
2021-08-22,2021-08-28,214,Arizona,AZ,cdc,NA
2021-08-29,2021-09-04,274,Arizona,AZ,cdc,NA
2021-09-05,2021-09-11,281,Arizona,AZ,cdc,NA
2021-09-12,2021-09-18,266,Arizona,AZ,cdc,NA
2021-09-19,2021-09-25,286,Arizona,AZ,cdc,NA
2021-09-26,2021-10-02,272,Arizona,AZ,cdc,NA
2021-10-03,2021-10-09,245,Arizona,AZ,cdc,NA
2021-10-10,2021-10-16,263,Arizona,AZ,cdc,NA
2021-10-17,2021-10-23,231,Arizona,AZ,cdc,NA
2021-10-24,2021-10-30,279,Arizona,AZ,cdc,NA
2021-10-31,2021-11-06,268,Arizona,AZ,cdc,NA
2021-11-07,2021-11-13,353,Arizona,AZ,cdc,NA
2021-11-14,2021-11-20,380,Arizona,AZ,cdc,NA
2021-11-21,2021-11-27,450,Arizona,AZ,cdc,NA
2021-11-28,2021-12-04,469,Arizona,AZ,cdc,NA
2021-12-05,2021-12-11,542,Arizona,AZ,cdc,NA
2021-12-12,2021-12-18,483,Arizona,AZ,cdc,NA
2021-12-19,2021-12-25,482,Arizona,AZ,cdc,NA
2021-12-26,2022-01-01,434,Arizona,AZ,cdc,NA
2022-01-02,2022-01-08,428,Arizona,AZ,cdc,NA
2022-01-09,2022-01-15,459,Arizona,AZ,cdc,NA
2022-01-16,2022-01-22,500,Arizona,AZ,cdc,NA
2022-01-23,2022-01-29,500,Arizona,AZ,cdc,NA
2022-01-30,2022-02-05,492,Arizona,AZ,cdc,NA
2022-02-06,2022-02-12,415,Arizona,AZ,cdc,NA
2022-02-13,2022-02-19,312,Arizona,AZ,cdc,NA
2022-02-20,2022-02-26,232,Arizona,AZ,cdc,NA
2022-02-27,2022-03-05,177,Arizona,AZ,cdc,NA
2022-03-06,2022-03-12,131,Arizona,AZ,cdc,NA
2022-03-13,2022-03-19,100,Arizona,AZ,cdc,NA
2022-03-20,2022-03-26,67,Arizona,AZ,cdc,NA
2022-03-27,2022-04-02,42,Arizona,AZ,cdc,NA
2022-04-03,2022-04-09,32,Arizona,AZ,cdc,NA
2022-04-10,2022-04-16,25,Arizona,AZ,cdc,NA
2022-04-17,2022-04-23,22,Arizona,AZ,cdc,NA
2022-04-24,2022-04-30,29,Arizona,AZ,cdc,NA
2022-05-01,2022-05-07,23,Arizona,AZ,cdc,NA
2022-05-08,2022-05-14,25,Arizona,AZ,cdc,NA
2022-05-15,2022-05-21,34,Arizona,AZ,cdc,NA
2022-05-22,2022-05-28,32,Arizona,AZ,cdc,NA
2022-05-29,2022-06-04,38,Arizona,AZ,cdc,NA
