state,USPS,datew,incidD,date,out,no,back_date
Arizona,AZ,7/31/2021,76,7/31/2021,0,,
Arizona,AZ,8/7/2021,130,8/7/2021,0,,
Arizona,AZ,8/14/2021,86,8/14/2021,0,,
Arizona,AZ,8/21/2021,135,8/21/2021,0,,
Arizona,AZ,8/28/2021,182,8/28/2021,0,,
Arizona,AZ,9/4/2021,220,9/4/2021,0,,
Arizona,AZ,9/11/2021,186,9/11/2021,0,,
Arizona,AZ,9/18/2021,304,9/18/2021,0,,
Arizona,AZ,9/25/2021,319,9/25/2021,0,,
Arizona,AZ,10/2/2021,328,10/2/2021,0,,
Arizona,AZ,10/9/2021,216,10/9/2021,0,,
Arizona,AZ,10/16/2021,162,10/16/2021,0,,
Arizona,AZ,10/23/2021,351,10/23/2021,0,,
Arizona,AZ,10/30/2021,326,10/30/2021,0,,
Arizona,AZ,11/6/2021,255,11/6/2021,0,,
Arizona,AZ,11/13/2021,243,11/13/2021,0,,
Arizona,AZ,11/20/2021,288,11/20/2021,0,,
Arizona,AZ,11/27/2021,285,11/27/2021,0,,
Arizona,AZ,12/4/2021,337,12/4/2021,0,,
Arizona,AZ,12/11/2021,460,12/11/2021,0,,
Arizona,AZ,12/18/2021,495,12/18/2021,0,,
Arizona,AZ,12/25/2021,467,12/25/2021,0,,
Arizona,AZ,1/1/2022,373,1/1/2022,0,,
Arizona,AZ,1/8/2022,350,1/8/2022,0,,
Arizona,AZ,1/15/2022,364,1/15/2022,0,,
Arizona,AZ,1/22/2022,489,1/22/2022,0,,
Arizona,AZ,1/29/2022,626,1/29/2022,0,,
Arizona,AZ,2/5/2022,447,2/5/2022,0,,
Arizona,AZ,2/12/2022,536,2/12/2022,0,,
Arizona,AZ,2/19/2022,349,2/19/2022,0,,
Arizona,AZ,2/26/2022,433,2/26/2022,0,,
Arizona,AZ,3/5/2022,238,3/5/2022,0,,
Arizona,AZ,3/12/2022,382,3/12/2022,0,,
Arizona,AZ,3/19/2022,457,3/19/2022,0,,
Arizona,AZ,3/26/2022,336,3/26/2022,0,,
Arizona,AZ,4/2/2022,385,4/2/2022,0,,
Arizona,AZ,4/9/2022,413,4/9/2022,0,,
Arizona,AZ,4/16/2022,142,4/16/2022,0,,
Arizona,AZ,4/23/2022,29,4/23/2022,0,,
Arizona,AZ,4/30/2022,99,4/30/2022,0,,
Arizona,AZ,5/7/2022,238,5/7/2022,0,,
Arizona,AZ,5/14/2022,41,5/14/2022,0,,
Arizona,AZ,5/21/2022,29,5/21/2022,0,,
Arizona,AZ,5/28/2022,40,5/28/2022,0,,
Arizona,AZ,6/4/2022,33,6/4/2022,0,,
Arizona,AZ,6/11/2022,40,6/11/2022,0,,
Arizona,AZ,6/18/2022,28,6/18/2022,0,,
Arizona,AZ,6/25/2022,52,6/25/2022,0,,
Arizona,AZ,7/2/2022,63,7/2/2022,0,,
Arizona,AZ,7/9/2022,57,7/9/2022,0,,
Arizona,AZ,7/16/2022,60,7/16/2022,0,,
Arizona,AZ,7/23/2022,66,7/23/2022,0,,
Arizona,AZ,7/30/2022,70,7/30/2022,0,,
Arizona,AZ,8/6/2022,74,8/6/2022,0,,
Arizona,AZ,8/13/2022,59,8/13/2022,0,,
Arizona,AZ,8/20/2022,81,8/20/2022,0,,
Arizona,AZ,8/27/2022,65,8/27/2022,0,,
Arizona,AZ,9/3/2022,67,9/3/2022,0,,
Arizona,AZ,9/10/2022,48,9/10/2022,0,,
Arizona,AZ,9/17/2022,82,9/17/2022,0,,
Arizona,AZ,9/24/2022,82,9/24/2022,0,,
Arizona,AZ,10/1/2022,44,10/1/2022,0,,
Arizona,AZ,10/8/2022,36,10/8/2022,0,,
Arizona,AZ,10/15/2022,49,10/15/2022,0,,
Arizona,AZ,10/22/2022,59,10/22/2022,0,,
Arizona,AZ,10/29/2022,34,10/29/2022,0,,
Arizona,AZ,11/5/2022,25,11/5/2022,0,,
Arizona,AZ,11/12/2022,40,11/12/2022,0,,
Arizona,AZ,11/19/2022,34,11/19/2022,0,,
Arizona,AZ,11/26/2022,62,11/26/2022,0,,
Arizona,AZ,12/3/2022,42,12/3/2022,0,,
Arizona,AZ,12/10/2022,71,12/10/2022,0,,
Arizona,AZ,12/17/2022,107,12/17/2022,0,,
Arizona,AZ,12/24/2022,109,12/24/2022,0,,
Arizona,AZ,12/31/2022,144,12/31/2022,0,,
Arizona,AZ,1/7/2023,129,1/7/2023,0,,
Arizona,AZ,1/14/2023,192,1/14/2023,0,,
Arizona,AZ,1/21/2023,128,1/21/2023,0,,
Arizona,AZ,1/28/2023,144,1/28/2023,0,,
Arizona,AZ,2/4/2023,107,2/4/2023,0,,
Arizona,AZ,2/11/2023,54,2/11/2023,0,,
Arizona,AZ,2/18/2023,67,2/18/2023,0,,
